Market,Feature,Importance,ImportanceShare,Rank
Total Gols 2.5,NoVig_Prob_Under25,0.029451536,0.029451536,1
Total Gols 2.5,Raw_Implied_Prob_Over25,0.021148581,0.021148581,2
Total Gols 2.5,Raw_Implied_Prob_Under25,0.020989915,0.020989915,3
Total Gols 2.5,Odd_Under25,0.01969345,0.01969345,4
Total Gols 2.5,NoVig_Prob_Over25,0.01746465,0.01746465,5
Total Gols 2.5,Odd_Over25,0.0129887685,0.0129887685,6
Total Gols 2.5,Away_Away_Over25_Roll5,0.008673592,0.008673592,7
Total Gols 2.5,Away_Away_ShotsAgainst_Roll5,0.007955409,0.007955409,8
Total Gols 2.5,Home_Home_ShotsAgainst_Roll5,0.007022685,0.007022685,9
Total Gols 2.5,Over25_OddsMove,0.006746715,0.006746715,10
Total Gols 2.5,Home_GA_Roll5,0.00670921,0.00670921,11
Total Gols 2.5,Home_Attack_vs_League,0.006677479,0.006677479,12
Total Gols 2.5,Home_BestVsSelectedGap,0.006599197,0.006599197,13
Total Gols 2.5,Draw_OddsMove,0.0063780323,0.0063780323,14
Total Gols 2.5,Match_IsWeekend,0.0063759284,0.0063759284,15
Total Gols 2.5,Over25_BestVsSelectedGap,0.0063352794,0.0063352794,16
Total Gols 2.5,Draw_BestVsSelectedGap,0.006276873,0.006276873,17
Total Gols 2.5,Away_RedCardsFor_Roll5,0.0062007606,0.0062007606,18
Total Gols 2.5,League_FirstHalfGoals_Pregame,0.0060898946,0.0060898946,19
Total Gols 2.5,xG_Defensive_Delta_Diff_Roll5,0.0060517974,0.0060517974,20
Total Gols 2.5,AH_HomeOdds,0.006043051,0.006043051,21
Total Gols 2.5,Home_Home_TG_Roll5,0.0060025062,0.0060025062,22
Total Gols 2.5,Total_Attack_Roll5,0.005984004,0.005984004,23
Total Gols 2.5,Home_RelegationPressure,0.005926225,0.005926225,24
Total Gols 2.5,Points_Diff_Roll5,0.0059115514,0.0059115514,25
Total Gols 2.5,Corners_Diff_Roll5,0.005910859,0.005910859,26
Total Gols 2.5,Home_SecondHalfGoalsAgainst_Roll5,0.0057404223,0.0057404223,27
Total Gols 2.5,Away_FinishingDelta_Roll5,0.005709725,0.005709725,28
Total Gols 2.5,Away_CleanSheet_Roll5,0.0055007273,0.0055007273,29
Total Gols 2.5,Away_Away_RestDays,0.0054807495,0.0054807495,30
Total Gols 2.5,Away_FirstHalfGoalsAgainst_Roll5,0.005414376,0.005414376,31
Total Gols 2.5,Home_Home_ShotsFor_Roll5,0.0053832503,0.0053832503,32
Total Gols 2.5,Shots_Total_vs_League,0.0053453115,0.0053453115,33
Total Gols 2.5,Away_Matches_Last14,0.005277752,0.005277752,34
Total Gols 2.5,Home_CornersAgainst_Roll5,0.0052652145,0.0052652145,35
Total Gols 2.5,League_TotalGoals_Pregame,0.0052606957,0.0052606957,36
Total Gols 2.5,Venue_ShotsOnTarget_Total_Roll5,0.0052460954,0.0052460954,37
Total Gols 2.5,Home_FirstHalfGoalsFor_Roll5,0.005234509,0.005234509,38
Total Gols 2.5,Away_Away_ShotsOnTargetFor_Roll5,0.0052201543,0.0052201543,39
Total Gols 2.5,Away_FirstHalfTotalGoals_Roll5,0.0052158185,0.0052158185,40
Total Gols 2.5,Away_Away_ShotsOnTargetAgainst_Roll5,0.005201659,0.005201659,41
Total Gols 2.5,Under25_OddsMove,0.005187975,0.005187975,42
Total Gols 2.5,Shots_Total_Roll5,0.0051741675,0.0051741675,43
Total Gols 2.5,Away_Away_ShotsFor_Roll5,0.0051162397,0.0051162397,44
Total Gols 2.5,Home_MatchImportance,0.0050852094,0.0050852094,45
Total Gols 2.5,Home_Home_FirstHalfTotalGoals_Roll5,0.0050781984,0.0050781984,46
Total Gols 2.5,Home_MaxAvgGap,0.005074707,0.005074707,47
Total Gols 2.5,Under25_BestVsSelectedGap,0.005036462,0.005036462,48
Total Gols 2.5,xG_Expected_Total_Match_Roll5,0.0050079618,0.0050079618,49
Total Gols 2.5,Home_xGDiff_Roll5,0.004984553,0.004984553,50
Total Gols 2.5,FailedToScore_Diff_Roll5,0.0049613845,0.0049613845,51
Total Gols 2.5,Away_xGTotal_Roll5,0.0049383477,0.0049383477,52
Total Gols 2.5,Venue_xG_Total_Roll5,0.0049087666,0.0049087666,53
Total Gols 2.5,Away_FoulsAgainst_Roll5,0.0048924596,0.0048924596,54
Total Gols 2.5,Home_Home_xGTotal_Roll5,0.004878831,0.004878831,55
Total Gols 2.5,Home_Home_GA_Roll5,0.0048715794,0.0048715794,56
Total Gols 2.5,Home_Home_ShotsOnTargetAgainst_Roll5,0.0048389086,0.0048389086,57
Total Gols 2.5,Away_SecondHalfGoalsFor_Roll5,0.0048388136,0.0048388136,58
Total Gols 2.5,League_xGTotal_Pregame,0.004793469,0.004793469,59
Total Gols 2.5,Away_TitlePressure,0.004786701,0.004786701,60
Total Gols 2.5,AH_NoVigAwayCover,0.0047669266,0.0047669266,61
Total Gols 2.5,Home_Attack_vs_Away_Defense,0.004729712,0.004729712,62
Total Gols 2.5,Venue_Total_Goals_Form_Roll5,0.004728386,0.004728386,63
Total Gols 2.5,Venue_Over25_Rate_Diff_Roll5,0.004727458,0.004727458,64
Total Gols 2.5,Home_ShotAccuracy_Roll5,0.0046830215,0.0046830215,65
Total Gols 2.5,Over25_ImpliedMove,0.0046795825,0.0046795825,66
Total Gols 2.5,Corners_Total_Roll5,0.0046743364,0.0046743364,67
