Market,EdgeThreshold,MinModelProb,MaxOdd,HasMaxOdd,TuneStart,TuneEnd,EvalStart,EvalEnd,Qualified,TuneBets,TuneTotalStaked,TuneTotalProfit,TuneROI,TuneHitRate,TuneAvgEdge,TuneAvgModelProb,TuneAvgOdd,EvalBets,EvalTotalStaked,EvalTotalProfit,EvalROI,EvalHitRate,EvalAvgEdge,EvalAvgModelProb,EvalAvgOdd
Over 2.5,0.0,0.5,1.6,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,490.0,4900.0,-25.79999999999985,-0.005265306122448949,0.6653061224489796,0.041766334328165636,0.6741253200225455,1.4981020408163266,305.0,3050.0,131.50000000000006,0.04311475409836067,0.6983606557377049,0.04098364010514832,0.6739132338371172,1.498327868852459
Over 2.5,0.0,0.5,1.7,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,883.0,8830.0,-353.09999999999985,-0.03998867497168741,0.6149490373725934,0.04434926234981204,0.648185262493146,1.5705096262740657,585.0,5850.0,261.4000000000001,0.0446837606837607,0.6666666666666666,0.044887116899478934,0.6474466417821185,1.5751965811965811
Over 2.5,0.0,0.5,1.8,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,1224.0,12240.0,-397.4999999999999,-0.03247549019607842,0.6004901960784313,0.04639772515485588,0.6323477462970344,1.621903594771242,865.0,8650.0,309.9000000000001,0.035826589595375734,0.638150289017341,0.04564184150989978,0.6274981435436785,1.6346820809248555
Over 2.5,0.0,0.5,1.9,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,1407.0,14070.0,-385.0999999999999,-0.02737029140014214,0.5927505330490405,0.04596004672587615,0.6229418344049197,1.6530206112295667,990.0,9900.0,365.1,0.03687878787878788,0.6282828282828283,0.044355334848512326,0.6177276402966975,1.6633434343434343
Over 2.5,0.0,0.5,2.0,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,1574.0,15740.0,-165.0999999999999,-0.010489199491740781,0.590851334180432,0.04580052609349921,0.6134130865851805,1.6862706480304959,1127.0,11270.0,364.4000000000001,0.032333629103815445,0.614019520851819,0.04392948070309116,0.6070104074704282,1.6988553682342504
Over 2.5,0.0,0.5,2.2,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,1714.0,17140.0,-191.89999999999998,-0.011196032672112017,0.5810968494749125,0.04786119719368937,0.6066092914440195,1.7180921820303385,1194.0,11940.0,461.7,0.03866834170854271,0.6105527638190955,0.04559559499823994,0.6026469774054185,1.7204103852596315
Over 2.5,0.0,0.5,,False,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,1724.0,17240.0,-153.39999999999998,-0.008897911832946635,0.5812064965197216,0.048224180827810915,0.6061061052768856,1.7214965197215777,1196.0,11960.0,489.20000000000016,0.04090301003344483,0.6112040133779264,0.04571215629158756,0.6024955636873518,1.7215050167224082
Over 2.5,0.0,0.525,1.6,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,490.0,4900.0,-25.79999999999985,-0.005265306122448949,0.6653061224489796,0.041766334328165636,0.6741253200225455,1.4981020408163266,305.0,3050.0,131.50000000000006,0.04311475409836067,0.6983606557377049,0.04098364010514832,0.6739132338371172,1.498327868852459
Over 2.5,0.0,0.525,1.7,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,883.0,8830.0,-353.09999999999985,-0.03998867497168741,0.6149490373725934,0.04434926234981204,0.648185262493146,1.5705096262740657,585.0,5850.0,261.4000000000001,0.0446837606837607,0.6666666666666666,0.044887116899478934,0.6474466417821185,1.5751965811965811
Over 2.5,0.0,0.525,1.8,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,1224.0,12240.0,-397.4999999999999,-0.03247549019607842,0.6004901960784313,0.04639772515485588,0.6323477462970344,1.621903594771242,865.0,8650.0,309.9000000000001,0.035826589595375734,0.638150289017341,0.04564184150989978,0.6274981435436785,1.6346820809248555
Over 2.5,0.0,0.525,1.9,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,1384.0,13840.0,-399.1999999999998,-0.028843930635838136,0.5932080924855492,0.04654839557010726,0.6246596621564467,1.6492196531791907,958.0,9580.0,270.8000000000001,0.02826722338204594,0.6263048016701461,0.04557346337210445,0.6211654795849022,1.6559290187891442
Over 2.5,0.0,0.525,2.0,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,1470.0,14700.0,-295.6999999999999,-0.020115646258503393,0.5918367346938775,0.04752189230356177,0.6204917004683438,1.6675306122448983,1026.0,10260.0,174.90000000000015,0.017046783625731008,0.6140350877192983,0.046382888985383196,0.6162049011862133,1.6757797270955166
Over 2.5,0.0,0.525,2.2,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,1531.0,15310.0,-282.1999999999999,-0.01843239712606139,0.5878510777269759,0.04941241897493213,0.6178679472232268,1.6836185499673415,1058.0,10580.0,270.10000000000014,0.025529300567107765,0.6143667296786389,0.04769500043592631,0.6141067020047213,1.6880056710775049
