Market,fold,train_start,train_end,test_start,test_end,train_rows,test_rows,alpha_model,alpha_market,blend_validation_rows,accuracy,precision_over,logloss,brier_score,calibration_ece,bets,total_staked,total_profit,roi,hit_rate,avg_edge,avg_model_prob,avg_odd,precision_under,precision_h,precision_d,precision_a
Over 2.5,1,2005-09-27,2016-04-19,2016-04-20,2018-05-05,57444,11363,0.25,0.75,11489,0.5755522309249318,0.5851153039832285,0.6734680539940152,0.24036720840746212,0.014208372639008652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Over 2.5,2,2005-09-27,2018-05-05,2018-05-06,2020-07-21,68807,10680,0.25,0.75,13762,0.5830524344569289,0.5930208114357789,0.6714473153322094,0.2393762198092603,0.00960359093254034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Over 2.5,3,2005-09-27,2020-07-21,2020-07-22,2022-05-05,79487,10914,0.35,0.65,15898,0.5794392523364486,0.576499896200955,0.6754319676944673,0.2412888350912086,0.010772510861284265,4.0,40.0,27.8,0.6950000000000001,1.0,0.058992859418402877,0.6170382864748984,1.695,,,,
Over 2.5,4,2005-09-27,2022-05-05,2022-05-06,2024-04-29,90401,10932,0.4,0.6,18081,0.5834248079034029,0.5953971789161099,0.6707206780691044,0.2390004021925411,0.014104749160837128,6.0,60.0,-28.6,-0.4766666666666667,0.3333333333333333,0.053216136031979756,0.6621979556538141,1.55,,,,
Over 2.5,5,2005-09-27,2024-04-29,2024-04-30,2026-05-14,101333,11095,0.6000000000000001,0.3999999999999999,20267,0.5744930148715638,0.5944540727902946,0.6757172697247724,0.2414623870370083,0.015387897338969243,80.0,800.0,34.300000000000026,0.04287500000000003,0.65,0.05793160394856454,0.6483235164996488,1.6030000000000002,,,,
Under 2.5,1,2005-09-27,2016-04-19,2016-04-20,2018-05-05,57444,11363,0.25,0.75,11489,0.5755522309249318,,0.6734680539940152,0.24036720840746215,0.014208372639008697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5686333990596086,,,
Under 2.5,2,2005-09-27,2018-05-05,2018-05-06,2020-07-21,68807,10680,0.25,0.75,13762,0.5830524344569289,,0.6714473153322094,0.2393762198092603,0.009603590932540363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5750464291744048,,,
Under 2.5,3,2005-09-27,2020-07-21,2020-07-22,2022-05-05,79487,10914,0.35,0.65,15898,0.5794392523364486,,0.6754319676944673,0.2412888350912086,0.010772510861284335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5817615220600295,,,
Under 2.5,4,2005-09-27,2022-05-05,2022-05-06,2024-04-29,90401,10932,0.4,0.6,18081,0.5834248079034029,,0.6707206780691044,0.2390004021925411,0.014104749160837184,1.0,10.0,7.0,0.7,1.0,0.06814916477177335,0.6207807437191418,1.7,0.5717893217893217,,,
Under 2.5,5,2005-09-27,2024-04-29,2024-04-30,2026-05-14,101333,11095,0.6000000000000001,0.3999999999999999,20267,0.5744930148715638,,0.6757172697247724,0.2414623870370083,0.015387897338969269,52.0,520.0,-123.89999999999999,-0.23826923076923076,0.46153846153846156,0.05980905634137256,0.6286863107895618,1.6634615384615385,0.5528638497652583,,,
