Div,Date,Time,HomeTeam,AwayTeam,Referee,B365H,B365D,B365A,BFDH,BFDD,BFDA,BMGMH,BMGMD,BMGMA,BVH,BVD,BVA,BWH,BWD,BWA,CLH,CLD,CLA,LBH,LBD,LBA,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BMGMCH,BMGMCD,BMGMCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,CLCH,CLCD,CLCA,LBCH,LBCD,LBCA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
B1,19/05/2026,19:30,Charleroi,Oud-Heverlee Leuven,,1.85,4,3.7,1.73,3.75,4,1.68,3.65,4.1,1.8,3.8,3.7,1.83,3.9,3.9,1.83,3.9,3.9,1.83,3.8,3.9,,,,1.85,4,4.2,1.77,3.84,3.91,1.89,4,4.1,1.57,2.35,,,1.57,2.5,1.55,2.31,1.65,2.5,-0.75,1.88,1.93,,,1.88,1.93,1.84,1.87,1.94,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,19/05/2026,19:30,Genk,Antwerp,,1.55,4.2,5.5,1.53,4,5.5,1.48,4,5.25,1.53,4.2,5.5,1.58,4.33,5.25,1.57,4.33,5.25,1.57,4.2,5.25,,,,1.58,4.33,5.8,1.53,4.15,5.36,1.59,4.5,6,1.67,2.15,,,1.67,2.25,1.64,2.14,1.75,2.28,-1,1.93,1.88,,,1.93,1.88,1.87,1.84,1.98,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,19/05/2026,19:30,Westerlo,Standard,,2.1,3.5,3.3,2,3.6,3.2,1.91,3.45,3.3,2,3.5,3.25,2,3.6,3.5,2,3.6,3.5,2,3.5,3.5,,,,2.1,3.6,3.5,2.01,3.51,3.3,2.14,3.7,3.5,1.67,2.15,,,1.67,2.25,1.62,2.18,1.72,2.34,-0.25,1.85,1.95,,,1.85,1.95,1.79,1.91,1.9,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,21/05/2026,19:30,Anderlecht,St Truiden,,2.2,3.75,3,2.2,3.6,2.8,2.07,3.45,2.88,,,,2.2,3.7,3,2.2,3.7,3,2.2,3.7,3,,,,2.2,3.75,3.1,2.14,3.61,2.92,2.24,3.8,3.1,1.6,2.3,,,1.62,2.4,1.55,2.31,1.63,2.36,-0.25,1.9,1.9,,,1.9,1.9,1.85,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,21/05/2026,19:30,Gent,St. Gilloise,,4.5,3.7,1.75,4.2,3.6,1.73,4.3,3.55,1.67,,,,4.4,3.6,1.8,4.4,3.6,1.8,4.4,3.6,1.8,,,,4.6,3.8,1.8,4.32,3.61,1.73,4.6,3.7,1.77,1.9,1.9,,,1.91,1.91,1.84,1.86,1.89,1.9,0.5,2.05,1.75,,,2.05,1.75,2.02,1.73,2.09,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,21/05/2026,19:30,Mechelen,Club Brugge,,7,4.75,1.38,6.5,5,1.36,6.75,4.9,1.32,,,,6.5,5.25,1.41,6.5,5.25,1.4,6.5,5.25,1.4,,,,7,5.25,1.41,6.57,5,1.37,7.2,5.5,1.39,1.4,2.88,,,1.4,3.1,1.37,2.91,1.41,3,1.5,1.8,2,,,1.8,2.05,1.75,1.98,1.86,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,19/05/2026,19:30,Bournemouth,Man City,A Taylor,4.5,4.33,1.67,4.5,4.33,1.67,4.4,4.1,1.63,4.6,4.33,1.65,4.33,4.33,1.68,4.33,4.33,1.7,4.2,4.33,1.7,,,,4.6,4.5,1.7,4.42,4.27,1.66,4.8,4.6,1.72,1.44,2.75,,,1.44,3,1.42,2.8,1.48,3,0.75,2.03,1.83,,,2.03,1.84,1.96,1.79,2.08,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,19/05/2026,20:15,Chelsea,Tottenham,S Attwell,1.91,3.7,3.9,1.91,3.75,3.75,1.89,3.55,3.6,1.91,3.6,4,1.9,3.6,3.8,1.91,3.7,3.8,1.91,3.6,3.8,,,,1.95,3.75,4,1.9,3.64,3.76,1.99,3.85,4.1,1.73,2.1,,,1.73,2.25,1.69,2.12,1.79,2.24,-0.5,1.93,1.93,,,1.93,1.93,1.87,1.85,1.99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,21/05/2026,16:00,Atromitos,Panserraikos,,,,,1.53,3.75,6,1.67,3.5,5.2,,,,1.57,4,5.5,1.53,3.75,5,1.53,3.75,5,,,,1.67,4,6,1.57,3.71,5.28,1.55,3.55,4.8,,,,,2.16,1.81,1.99,1.73,1.86,1.86,-0.75,,,,,1.71,2.05,1.71,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,21/05/2026,17:00,Kifisia,Larisa,,,,,2.25,3.2,3,,,,,,,2.3,3.25,3,2.2,3.1,2.9,2.2,3.1,2.9,,,,2.3,3.25,3.2,2.22,3.13,2.98,2.24,3.15,3.25,,,,,2.14,1.73,2.08,1.67,2.08,1.74,-0.25,,,,,1.91,1.8,1.91,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,21/05/2026,17:00,Panetolikos,Asteras Tripolis,,,,,2.25,3.2,3,2.4,3.1,2.95,,,,2.35,3.25,2.95,2.25,3.1,2.87,2.25,3.1,2.87,,,,2.4,3.3,3.05,2.29,3.13,2.9,2.44,3.15,2.98,,,,,2.2,1.73,2.09,1.66,2.1,1.75,-0.25,,,,,2,1.8,1.96,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
